district_name,block_name,typeofsupport,broad_category,categoryofsupport,Beneficiary_Count
BALOD,BALOD,Kitchen Garden,Nature-Based Solutions / Bio-Economy,Training,9
BALOD,BALOD,Livestock Rearing-Technical Training,Nature-Based Solutions / Bio-Economy,Training,3
BALOD,BALOD,Loom Upgradation,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,BALOD,Machinery & Equipments for Mushroom Production,Nature-Based Solutions / Bio-Economy,Equipment,11
BALOD,BALOD,Maize Sheller,Nature-Based Solutions / Bio-Economy,Equipment,6
BALOD,BALOD,Manure/ Fertiliser,Nature-Based Solutions / Bio-Economy,Inputs,3
BALOD,BALOD,Market Linkage,Nature-Based Solutions / Bio-Economy,Marketing Support,3
BALOD,BALOD,Medicines,Nature-Based Solutions / Bio-Economy,Inputs,4
BALOD,BALOD,Milk Containers,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,BALOD,Mini Percolation Tank,Nature-Based Solutions / Bio-Economy,Infrastructure,3
BALOD,BALOD,Mushroom cultivation,Nature-Based Solutions / Bio-Economy,Training,81
BALOD,BALOD,Nadep Pit,Nature-Based Solutions / Bio-Economy,Inputs,6
BALOD,BALOD,Nursey Net,Nature-Based Solutions / Bio-Economy,Infrastructure,6
BALOD,BALOD,Open Irrigation Wells,Nature-Based Solutions / Bio-Economy,Infrastructure,23
BALOD,BALOD,Organic Manure,Nature-Based Solutions / Bio-Economy,Inputs,83
BALOD,BALOD,Packaging Equipment,Nature-Based Solutions / Bio-Economy,Equipment,7
BALOD,BALOD,Packaging Machine - Spices / Coffee /Rubber / Tea,Circular Economy,Equipment,3
BALOD,BALOD,Paddy Transplanter,Nature-Based Solutions / Bio-Economy,Equipment,482
BALOD,BALOD,Pest Management,Nature-Based Solutions / Bio-Economy,Training,3
BALOD,BALOD,Pipe Line for Irrigation,Nature-Based Solutions / Bio-Economy,Infrastructure,17
BALOD,BALOD,Plantation,Nature-Based Solutions / Bio-Economy,Infrastructure,78
BALOD,BALOD,Plastic Crates,Circular Economy,Equipment,13
BALOD,BALOD,Pottery Wheel,Circular Economy,Equipment,3
BALOD,BALOD,Pounding Machine,Nature-Based Solutions / Bio-Economy,Equipment,28
BALOD,BALOD,Power Tiller,Nature-Based Solutions / Bio-Economy,Equipment,187
BALOD,BALOD,Promotion & Conservation Local Breeds,Nature-Based Solutions / Bio-Economy,Other Services,3
BALOD,BALOD,Promotion of Cooperative,Nature-Based Solutions / Bio-Economy,Other Services,3
BALOD,BALOD,Pulper,Nature-Based Solutions / Bio-Economy,Equipment,16
BALOD,BALOD,Pulper-Fruits,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,BALOD,Pump House,Nature-Based Solutions / Bio-Economy,Infrastructure,18
BALOD,BALOD,Pump Set,Energy,Equipment,735
BALOD,BALOD,Pump Set - Tribal Department,Energy,Equipment,9
BALOD,BALOD,Raw Material Grading Equipment,Nature-Based Solutions / Bio-Economy,Equipment,11
BALOD,BALOD,Raw Material for Activity,Circular Economy,Inputs,200
BALOD,BALOD,"Reeling, Weaving &  Twisting Machinery in Tasar/Muga",Circular Economy,Equipment,6
BALOD,BALOD,Registration of Udyog Aadhaar,Nature-Based Solutions / Bio-Economy,Other Services,318
BALOD,BALOD,Rotavator,Nature-Based Solutions / Bio-Economy,Equipment,66
BALOD,BALOD,SHG / Bank Loan,Nature-Based Solutions / Bio-Economy,Loan / Insurance / Subsidy,3
BALOD,BALOD,Sand Filter for Bore Well / Open Well,Nature-Based Solutions / Bio-Economy,Infrastructure,293
BALOD,BALOD,"Saplings - Vegetables, Fruits",Nature-Based Solutions / Bio-Economy,Inputs,104
BALOD,BALOD,Saplings-Horticulture-Medicinal Plants,Nature-Based Solutions / Bio-Economy,Inputs,12
BALOD,BALOD,Seed Drill,Nature-Based Solutions / Bio-Economy,Equipment,6
BALOD,BALOD,Seed treatment,Nature-Based Solutions / Bio-Economy,Training,3
BALOD,BALOD,Seeds,Nature-Based Solutions / Bio-Economy,Inputs,614
BALOD,BALOD,Seeds / Saplings for Floriculture,Nature-Based Solutions / Bio-Economy,Inputs,5
BALOD,BALOD,Sickle,Nature-Based Solutions / Bio-Economy,Equipment,137
BALOD,BALOD,Soak Pit,Nature-Based Solutions / Bio-Economy,Infrastructure,19
BALOD,BALOD,Solar Pump,Energy,Equipment,107
BALOD,BALOD,Spice Mill,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,BALOD,Sprayer,Nature-Based Solutions / Bio-Economy,Equipment,1928
BALOD,BALOD,Sprinkler,Nature-Based Solutions / Bio-Economy,Equipment,63
BALOD,BALOD,Staggered Trench,Nature-Based Solutions / Bio-Economy,Infrastructure,46
BALOD,BALOD,Technical Training- Floriculture,Nature-Based Solutions / Bio-Economy,Training,39
BALOD,BALOD,Technical Training- Handloom & Textile,Circular Economy,Training,19
BALOD,BALOD,Terrace - Level Bench / Upland Bench,Nature-Based Solutions / Bio-Economy,Infrastructure,8
BALOD,BALOD,Thresher,Nature-Based Solutions / Bio-Economy,Equipment,639
BALOD,BALOD,Tractor,Nature-Based Solutions / Bio-Economy,Equipment,8215
BALOD,BALOD,Tube Well,Nature-Based Solutions / Bio-Economy,Infrastructure,82
BALOD,BALOD,Vaccine,Nature-Based Solutions / Bio-Economy,Inputs,17
BALOD,BALOD,Vermicompost,Nature-Based Solutions / Bio-Economy,Infrastructure,27
BALOD,BALOD,Vermicompost,Nature-Based Solutions / Bio-Economy,Inputs,75
BALOD,BALOD,Washer,Nature-Based Solutions / Bio-Economy,Equipment,6
BALOD,BALOD,Wasteland / Fallow Land / Grassland Development,Nature-Based Solutions / Bio-Economy,Infrastructure,59
BALOD,BALOD,Water Harvesting System,Nature-Based Solutions / Bio-Economy,Infrastructure,19
BALOD,BALOD,Water Pump,Nature-Based Solutions / Bio-Economy,Equipment,5
BALOD,BALOD,Water Tank,Nature-Based Solutions / Bio-Economy,Infrastructure,6
BALOD,BALOD,Weeder,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,BALOD,Weighing Scale,Nature-Based Solutions / Bio-Economy,Equipment,26
BALOD,BALOD,Wire - trellis,Nature-Based Solutions / Bio-Economy,Infrastructure,9
BALOD,DONDI,Afforestation of Wastelands,Nature-Based Solutions / Bio-Economy,Infrastructure,178
BALOD,DONDI,Agarbatti Machine,Circular Economy,Equipment,7
BALOD,DONDI,Animal Insurance,Nature-Based Solutions / Bio-Economy,Loan / Insurance / Subsidy,5
BALOD,DONDI,Any Other-Specify,Circular Economy,Equipment,3
BALOD,DONDI,Any Other-Specify,Circular Economy,Infrastructure,82
BALOD,DONDI,Any Other-Specify,Circular Economy,Inputs,5
BALOD,DONDI,Any Other-Specify,Circular Economy,Marketing Support,3
BALOD,DONDI,Artisan Cards,Circular Economy,Inputs,6
BALOD,DONDI,Assistance for Basic Seed Production Units,Nature-Based Solutions / Bio-Economy,Infrastructure,9
BALOD,DONDI,Automatic Reeling Machine for Yarn Making,Circular Economy,Equipment,3
BALOD,DONDI,Azolla,Nature-Based Solutions / Bio-Economy,Inputs,21
BALOD,DONDI,Basket and Trolley,Nature-Based Solutions / Bio-Economy,Equipment,62
BALOD,DONDI,Bee Hives,Nature-Based Solutions / Bio-Economy,Inputs,84
BALOD,DONDI,Bee Keeping Equipment,Nature-Based Solutions / Bio-Economy,Equipment,12
BALOD,DONDI,Bio Culture,Nature-Based Solutions / Bio-Economy,Inputs,74
BALOD,DONDI,Bio Fertilisers,Nature-Based Solutions / Bio-Economy,Inputs,51
BALOD,DONDI,Blunger for Pottery,Circular Economy,Equipment,3
BALOD,DONDI,Bore Well,Nature-Based Solutions / Bio-Economy,Infrastructure,448
BALOD,DONDI,Brood Lac,Nature-Based Solutions / Bio-Economy,Inputs,94
BALOD,DONDI,Brooders (Heat Lamp),Nature-Based Solutions / Bio-Economy,Equipment,9
BALOD,DONDI,Business Management / Promotion Training,Circular Economy,Training,3
BALOD,DONDI,Cage Installation in Reservoirs,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,DONDI,Cattle Shed / Shelter,Nature-Based Solutions / Bio-Economy,Infrastructure,95
BALOD,DONDI,Certification,Circular Economy,Marketing Support,9
BALOD,DONDI,Check Dam,Nature-Based Solutions / Bio-Economy,Infrastructure,38
BALOD,DONDI,Chick Guard,Nature-Based Solutions / Bio-Economy,Infrastructure,71
BALOD,DONDI,Clay,Circular Economy,Inputs,9
BALOD,DONDI,Cleaning & Storage Unit - Spices / Coffee /Rubber / Tea,Circular Economy,Infrastructure,21
BALOD,DONDI,Cleaning Agent,Nature-Based Solutions / Bio-Economy,Inputs,27
BALOD,DONDI,Coir Machine,Circular Economy,Equipment,3
BALOD,DONDI,Cold Storage,Circular Economy,Infrastructure,12
BALOD,DONDI,Common Facility Center(CFC) for Silk Yarn Dyeing and Fabric Processing,Circular Economy,Infrastructure,18
BALOD,DONDI,Compost Pit,Nature-Based Solutions / Bio-Economy,Infrastructure,269
BALOD,DONDI,Construction of New Pond,Nature-Based Solutions / Bio-Economy,Infrastructure,11
BALOD,DONDI,Contour / Graded Bund,Nature-Based Solutions / Bio-Economy,Infrastructure,5
BALOD,DONDI,Crop Insurance,Nature-Based Solutions / Bio-Economy,Loan / Insurance / Subsidy,9
BALOD,DONDI,DDU-GKY Skill Training for Placement Outside the State,Circular Economy,Training,7
BALOD,DONDI,Day Old Chicks,Nature-Based Solutions / Bio-Economy,Inputs,48
BALOD,DONDI,Deworming Medicines,Nature-Based Solutions / Bio-Economy,Inputs,23
BALOD,DONDI,Disinfectants,Nature-Based Solutions / Bio-Economy,Inputs,14
BALOD,DONDI,Drainage of Chaur or Waterlogged Land,Nature-Based Solutions / Bio-Economy,Infrastructure,135
BALOD,DONDI,Drip Irrigation,Nature-Based Solutions / Bio-Economy,Infrastructure,12
BALOD,DONDI,Dug Well,Nature-Based Solutions / Bio-Economy,Infrastructure,105
BALOD,DONDI,Dye House,Circular Economy,Infrastructure,18
BALOD,DONDI,Eri Silkworm Eggs,Nature-Based Solutions / Bio-Economy,Inputs,16
BALOD,DONDI,FYM,Nature-Based Solutions / Bio-Economy,Inputs,30
BALOD,DONDI,Fabric Finishing Units,Circular Economy,Infrastructure,62
BALOD,DONDI,Fabric Processing Unit,Circular Economy,Infrastructure,46
BALOD,DONDI,Feed Supplements,Nature-Based Solutions / Bio-Economy,Inputs,181
BALOD,DONDI,Feeder,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,DONDI,Fencing,Nature-Based Solutions / Bio-Economy,Infrastructure,152
BALOD,DONDI,Fencing,Nature-Based Solutions / Bio-Economy,Inputs,19
BALOD,DONDI,Fencing Material,Nature-Based Solutions / Bio-Economy,Infrastructure,16
BALOD,DONDI,Fertilizers,Nature-Based Solutions / Bio-Economy,Inputs,2877
BALOD,DONDI,Financial Assistance,Nature-Based Solutions / Bio-Economy,Loan / Insurance / Subsidy,3
BALOD,DONDI,Fingerlings,Nature-Based Solutions / Bio-Economy,Inputs,9
BALOD,DONDI,Fish Drying Yards,Circular Economy,Infrastructure,15
BALOD,DONDI,Fish Feed,Nature-Based Solutions / Bio-Economy,Inputs,9
BALOD,DONDI,Fish Feed Unit,Nature-Based Solutions / Bio-Economy,Infrastructure,15
BALOD,DONDI,Fishing Nets,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,DONDI,Food Processing Unit Set-up for SHGs,Circular Economy,Infrastructure,6
BALOD,DONDI,Foot Pump,Nature-Based Solutions / Bio-Economy,Equipment,8
BALOD,DONDI,General Awareness Training,Nature-Based Solutions / Bio-Economy,Training,6
BALOD,DONDI,Goat-Castrator,Nature-Based Solutions / Bio-Economy,Equipment,4
BALOD,DONDI,Goat-Shed / Shelter,Nature-Based Solutions / Bio-Economy,Infrastructure,137
BALOD,DONDI,Godown,Circular Economy,Infrastructure,12
BALOD,DONDI,Green House,Nature-Based Solutions / Bio-Economy,Infrastructure,21
BALOD,DONDI,Green House (Including Shade Net),Nature-Based Solutions / Bio-Economy,Infrastructure,8
BALOD,DONDI,Grinding Machine,Nature-Based Solutions / Bio-Economy,Equipment,75
BALOD,DONDI,Gully Plugs,Nature-Based Solutions / Bio-Economy,Infrastructure,26
BALOD,DONDI,"Handling Kit: Honey Extractor, Smoker and Other Appliances",Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,DONDI,Hatchery,Nature-Based Solutions / Bio-Economy,Infrastructure,3
BALOD,DONDI,Honey Extractor,Nature-Based Solutions / Bio-Economy,Equipment,8
BALOD,DONDI,Hut/Room for Mushroom Production,Nature-Based Solutions / Bio-Economy,Infrastructure,123
BALOD,DONDI,Improved Package of Practice for Crops,Nature-Based Solutions / Bio-Economy,Training,6
BALOD,DONDI,Improved Twisting Machines for Yarn Making,Circular Economy,Equipment,3
BALOD,DONDI,Infrastructure for Azolla Cultivation,Nature-Based Solutions / Bio-Economy,Infrastructure,42
BALOD,DONDI,Infrastructure for Spawn Making Unit,Nature-Based Solutions / Bio-Economy,Infrastructure,108
BALOD,DONDI,Insect Trap,Nature-Based Solutions / Bio-Economy,Inputs,15
BALOD,DONDI,Insurance,Nature-Based Solutions / Bio-Economy,Loan / Insurance / Subsidy,6
BALOD,DONDI,Integrated Pack House,Circular Economy,Infrastructure,72
BALOD,DONDI,Kitchen Garden,Nature-Based Solutions / Bio-Economy,Training,11
BALOD,DONDI,License for Food Processing,Circular Economy,Marketing Support,3
BALOD,DONDI,Livestock,Nature-Based Solutions / Bio-Economy,Inputs,3
BALOD,DONDI,Livestock Rearing-Technical Training,Nature-Based Solutions / Bio-Economy,Training,32
BALOD,DONDI,Machinery & Equipments for Mushroom Production,Nature-Based Solutions / Bio-Economy,Equipment,73
BALOD,DONDI,Machinery for Processing Centre,Circular Economy,Equipment,3
BALOD,DONDI,Maize Sheller,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,DONDI,Managing Kits (Hive stand; Queen Cage etc),Nature-Based Solutions / Bio-Economy,Equipment,6
BALOD,DONDI,Manure,Nature-Based Solutions / Bio-Economy,Inputs,10
BALOD,DONDI,Manure/ Fertiliser,Nature-Based Solutions / Bio-Economy,Inputs,18
BALOD,DONDI,Market Linkage,Nature-Based Solutions / Bio-Economy,Marketing Support,9
BALOD,DONDI,Market Shed,Circular Economy,Infrastructure,81
BALOD,DONDI,Medicines,Nature-Based Solutions / Bio-Economy,Inputs,143
BALOD,DONDI,Mini Percolation Tank,Nature-Based Solutions / Bio-Economy,Infrastructure,36
BALOD,DONDI,Mint Distillation Unit,Circular Economy,Infrastructure,12
BALOD,DONDI,Mudra Loan,Circular Economy,Loan / Insurance / Subsidy,3
BALOD,DONDI,Mulberry Kisan Nurseries,Nature-Based Solutions / Bio-Economy,Inputs,3
BALOD,DONDI,Mulberry-Incubation Centres,Nature-Based Solutions / Bio-Economy,Infrastructure,6
BALOD,DONDI,Mushroom Spawn,Nature-Based Solutions / Bio-Economy,Inputs,125
BALOD,DONDI,Mushroom cultivation,Nature-Based Solutions / Bio-Economy,Training,6
BALOD,DONDI,NTFP Enterprises Support,Nature-Based Solutions / Bio-Economy,Infrastructure,214
BALOD,DONDI,Nadep Compost,Nature-Based Solutions / Bio-Economy,Infrastructure,666
BALOD,DONDI,Nadep Pit,Nature-Based Solutions / Bio-Economy,Inputs,160
BALOD,DONDI,Nursey Net,Nature-Based Solutions / Bio-Economy,Infrastructure,24
BALOD,DONDI,Open Irrigation Wells,Nature-Based Solutions / Bio-Economy,Infrastructure,86
BALOD,DONDI,Organic Certification,Nature-Based Solutions / Bio-Economy,Marketing Support,3
BALOD,DONDI,Organic Farming,Nature-Based Solutions / Bio-Economy,Training,6
BALOD,DONDI,Organic Manure,Nature-Based Solutions / Bio-Economy,Inputs,2962
BALOD,DONDI,Organic certification process,Nature-Based Solutions / Bio-Economy,Training,3
BALOD,DONDI,Packaging Equipment,Nature-Based Solutions / Bio-Economy,Equipment,185
BALOD,DONDI,Paddy Transplanter,Nature-Based Solutions / Bio-Economy,Equipment,557
BALOD,DONDI,Paddy/ Wheat Straw,Nature-Based Solutions / Bio-Economy,Inputs,36
BALOD,DONDI,Peripheral / Farm / Field Bund,Nature-Based Solutions / Bio-Economy,Infrastructure,6
BALOD,DONDI,Pest Management,Nature-Based Solutions / Bio-Economy,Training,6
BALOD,DONDI,Pig Sty / Shelter,Nature-Based Solutions / Bio-Economy,Infrastructure,25
BALOD,DONDI,Pipe Line for Irrigation,Nature-Based Solutions / Bio-Economy,Infrastructure,14
BALOD,DONDI,Plantation,Nature-Based Solutions / Bio-Economy,Infrastructure,257
BALOD,DONDI,Plastic Crates,Circular Economy,Equipment,3
BALOD,DONDI,Pond Renovation,Nature-Based Solutions / Bio-Economy,Infrastructure,11
BALOD,DONDI,Post Harvest Management,Nature-Based Solutions / Bio-Economy,Training,12
BALOD,DONDI,Pottery Wheel,Circular Economy,Equipment,3
BALOD,DONDI,Poultry Shed / Shelter,Nature-Based Solutions / Bio-Economy,Infrastructure,135
BALOD,DONDI,Pounding Machine,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,DONDI,Power Tiller,Nature-Based Solutions / Bio-Economy,Equipment,47
BALOD,DONDI,Product Registration,Nature-Based Solutions / Bio-Economy,Marketing Support,6
BALOD,DONDI,Promotion & Conservation Local Breeds,Nature-Based Solutions / Bio-Economy,Other Services,55
BALOD,DONDI,Promotion of Cooperative,Nature-Based Solutions / Bio-Economy,Other Services,3
BALOD,DONDI,Pulper,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,DONDI,Pump House,Nature-Based Solutions / Bio-Economy,Infrastructure,44
BALOD,DONDI,Pump Set,Energy,Equipment,1477
BALOD,DONDI,Pump Set - Tribal Department,Energy,Equipment,3
BALOD,DONDI,Raw Material Grading Equipment,Nature-Based Solutions / Bio-Economy,Equipment,772
BALOD,DONDI,Raw Material for Activity,Circular Economy,Inputs,18
BALOD,DONDI,Recharge Pit,Nature-Based Solutions / Bio-Economy,Infrastructure,25
BALOD,DONDI,"Reeling, Weaving &  Twisting Machinery in Tasar/Muga",Circular Economy,Equipment,3
BALOD,DONDI,Refrigerator,Nature-Based Solutions / Bio-Economy,Equipment,12
BALOD,DONDI,Registration of Udyog Aadhaar,Nature-Based Solutions / Bio-Economy,Other Services,262
BALOD,DONDI,Rotavator,Nature-Based Solutions / Bio-Economy,Equipment,11
BALOD,DONDI,SHG / Bank Loan,Nature-Based Solutions / Bio-Economy,Loan / Insurance / Subsidy,3
BALOD,DONDI,Sand Filter for Bore Well / Open Well,Nature-Based Solutions / Bio-Economy,Infrastructure,58
BALOD,DONDI,"Saplings - Vegetables, Fruits",Nature-Based Solutions / Bio-Economy,Inputs,66
BALOD,DONDI,Saplings-Horticulture-Medicinal Plants,Nature-Based Solutions / Bio-Economy,Inputs,45
BALOD,DONDI,Seedling Tray,Nature-Based Solutions / Bio-Economy,Equipment,9
BALOD,DONDI,Seeds,Nature-Based Solutions / Bio-Economy,Inputs,439
BALOD,DONDI,Seeds / Saplings for Floriculture,Nature-Based Solutions / Bio-Economy,Inputs,206
BALOD,DONDI,Sericulture - Assistance for Irrigation,Nature-Based Solutions / Bio-Economy,Infrastructure,13
BALOD,DONDI,Sericulture Plantation Material,Nature-Based Solutions / Bio-Economy,Inputs,8
BALOD,DONDI,Set-up for Retail Outlet / Herbal Collection,Nature-Based Solutions / Bio-Economy,Loan / Insurance / Subsidy,3
BALOD,DONDI,Sickle,Nature-Based Solutions / Bio-Economy,Equipment,17
BALOD,DONDI,Silkworm Rearing Equipment,Nature-Based Solutions / Bio-Economy,Equipment,8
BALOD,DONDI,Silkworm Rearing Shed Construction,Nature-Based Solutions / Bio-Economy,Infrastructure,21
BALOD,DONDI,Skill Training for Minorities,Circular Economy,Training,3
BALOD,DONDI,Soak Pit,Nature-Based Solutions / Bio-Economy,Infrastructure,235
BALOD,DONDI,Solar Pump,Energy,Equipment,109
BALOD,DONDI,Sprayer,Nature-Based Solutions / Bio-Economy,Equipment,1389
BALOD,DONDI,Sprinkler,Nature-Based Solutions / Bio-Economy,Equipment,30
BALOD,DONDI,Staggered Trench,Nature-Based Solutions / Bio-Economy,Infrastructure,24
BALOD,DONDI,Storage Bags,Circular Economy,Inputs,135
BALOD,DONDI,Storage Space,Circular Economy,Infrastructure,266
BALOD,DONDI,Support for Nursery Development,Nature-Based Solutions / Bio-Economy,Infrastructure,6
BALOD,DONDI,Sustainable Harvesting,Nature-Based Solutions / Bio-Economy,Training,38
BALOD,DONDI,Technical Training,Circular Economy,Training,21
BALOD,DONDI,Technical Training- Floriculture,Nature-Based Solutions / Bio-Economy,Training,3
BALOD,DONDI,Technical Training- Handloom & Textile,Circular Economy,Training,18
BALOD,DONDI,Terrace - Level Bench / Upland Bench,Nature-Based Solutions / Bio-Economy,Infrastructure,3
BALOD,DONDI,Thresher,Nature-Based Solutions / Bio-Economy,Equipment,174
BALOD,DONDI,Tool Kits for Beekeeping,Nature-Based Solutions / Bio-Economy,Equipment,26
BALOD,DONDI,Tractor,Nature-Based Solutions / Bio-Economy,Equipment,2303
BALOD,DONDI,Training on Good Procurement Process & Maintenance,Nature-Based Solutions / Bio-Economy,Training,14
BALOD,DONDI,Training on NTFP / MFP Processing,Circular Economy,Training,35
BALOD,DONDI,Transport Facilities,Nature-Based Solutions / Bio-Economy,Marketing Support,4
BALOD,DONDI,Tube Well,Nature-Based Solutions / Bio-Economy,Infrastructure,86
BALOD,DONDI,Vaccine,Nature-Based Solutions / Bio-Economy,Inputs,153
BALOD,DONDI,Vermicompost,Nature-Based Solutions / Bio-Economy,Infrastructure,170
BALOD,DONDI,Vermicompost,Nature-Based Solutions / Bio-Economy,Inputs,31
BALOD,DONDI,Warehouse,Circular Economy,Infrastructure,30
BALOD,DONDI,Wasteland / Fallow Land / Grassland Development,Nature-Based Solutions / Bio-Economy,Infrastructure,102
BALOD,DONDI,Water Harvesting System,Nature-Based Solutions / Bio-Economy,Infrastructure,24
BALOD,DONDI,Water Tank,Nature-Based Solutions / Bio-Economy,Infrastructure,8
BALOD,DONDI,Weaver Cards,Circular Economy,Inputs,9
BALOD,DONDI,Weeder,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,DONDI,Weighing Scale,Nature-Based Solutions / Bio-Economy,Equipment,19
BALOD,DONDI,Wire - trellis,Nature-Based Solutions / Bio-Economy,Infrastructure,21
BALOD,DONDI,Work Shed,Circular Economy,Infrastructure,410
BALOD,DONDILOHARA,Afforestation of Wastelands,Nature-Based Solutions / Bio-Economy,Infrastructure,110
BALOD,DONDILOHARA,Agarbatti Machine,Circular Economy,Equipment,30
BALOD,DONDILOHARA,Animal Insurance,Nature-Based Solutions / Bio-Economy,Loan / Insurance / Subsidy,6
BALOD,DONDILOHARA,Any Other-Specify,Circular Economy,Equipment,77
BALOD,DONDILOHARA,Any Other-Specify,Circular Economy,Infrastructure,13
BALOD,DONDILOHARA,Any Other-Specify,Circular Economy,Inputs,6
BALOD,DONDILOHARA,Any Other-Specify,Circular Economy,Marketing Support,3
BALOD,DONDILOHARA,Assistance for Basic Seed Production Units,Nature-Based Solutions / Bio-Economy,Infrastructure,3
BALOD,DONDILOHARA,Automatic Reeling Machine for Yarn Making,Circular Economy,Equipment,3
BALOD,DONDILOHARA,Azolla,Nature-Based Solutions / Bio-Economy,Inputs,6
BALOD,DONDILOHARA,Bamboo Mat,Nature-Based Solutions / Bio-Economy,Equipment,3
BALOD,DONDILOHARA,Basket and Trolley,Nature-Based Solutions / Bio-Economy,Equipment,22
